GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0021100005,1610612746,Clippers,LAC,Los Angeles,240:00,0.716,0.284,0.552,0.19,0.229,0.086,0.219,0.181,0.362,0.483,0.517,1.0,0.0,0.595,0.405
0021100005,1610612744,Warriors,GSW,Golden State,240:00,0.744,0.256,0.628,0.093,0.174,0.128,0.198,0.058,0.535,0.444,0.556,1.0,0.0,0.531,0.469
0021100003,1610612747,Lakers,LAL,Los Angeles,240:00,0.789,0.211,0.736,0.253,0.138,0.115,0.126,0.149,0.483,0.594,0.406,0.75,0.25,0.611,0.389
0021100003,1610612741,Bulls,CHI,Chicago,240:00,0.831,0.169,0.659,0.182,0.239,0.136,0.102,0.193,0.477,0.586,0.414,0.571,0.429,0.583,0.417
0021100001,1610612752,Knicks,NYK,New York,240:00,0.73,0.27,0.491,0.208,0.255,0.075,0.255,0.17,0.283,0.346,0.654,0.889,0.111,0.486,0.514
0021100001,1610612738,Celtics,BOS,Boston,240:00,0.934,0.066,0.712,0.25,0.058,0.154,0.231,0.221,0.462,0.703,0.297,1.0,0.0,0.718,0.282
0021100002,1610612748,Heat,MIA,Miami,240:00,0.91,0.09,0.648,0.229,0.114,0.295,0.238,0.238,0.419,0.412,0.588,1.0,0.0,0.474,0.526
0021100002,1610612742,Mavericks,DAL,Dallas,240:00,0.659,0.341,0.468,0.17,0.287,0.106,0.245,0.309,0.298,0.636,0.364,1.0,0.0,0.742,0.258
0021100004,1610612753,Magic,ORL,Orlando,240:00,0.654,0.346,0.494,0.157,0.27,0.09,0.236,0.169,0.337,0.5,0.5,0.875,0.125,0.6,0.4
0021100004,1610612760,Thunder,OKC,Oklahoma City,240:00,0.736,0.264,0.495,0.165,0.309,0.093,0.196,0.144,0.33,0.542,0.458,0.8,0.2,0.618,0.382
0021100017,1610612744,Warriors,GSW,Golden State,240:00,0.805,0.195,0.646,0.222,0.121,0.202,0.232,0.222,0.424,0.563,0.438,1.0,0.0,0.611,0.389
0021100017,1610612741,Bulls,CHI,Chicago,240:00,0.707,0.293,0.571,0.22,0.264,0.187,0.165,0.077,0.352,0.385,0.615,0.75,0.25,0.471,0.529
0021100013,1610612759,Spurs,SAS,San Antonio,240:00,0.625,0.375,0.526,0.126,0.316,0.158,0.158,0.295,0.4,0.52,0.48,1.0,0.0,0.657,0.343
0021100013,1610612763,Grizzlies,MEM,Memphis,240:00,0.904,0.096,0.756,0.317,0.11,0.207,0.134,0.171,0.439,0.484,0.516,1.0,0.0,0.529,0.471
0021100014,1610612756,Suns,PHX,Phoenix,240:00,0.691,0.309,0.643,0.214,0.179,0.167,0.179,0.179,0.429,0.741,0.259,0.6,0.4,0.719,0.281
0021100014,1610612740,Hornets,NOH,New Orleans,240:00,0.797,0.203,0.776,0.282,0.071,0.153,0.153,0.176,0.494,0.273,0.727,0.5,0.5,0.286,0.714
0021100008,1610612753,Magic,ORL,Orlando,240:00,0.735,0.265,0.673,0.135,0.26,0.077,0.067,0.115,0.538,0.314,0.686,0.889,0.111,0.432,0.568
0021100008,1610612745,Rockets,HOU,Houston,240:00,0.671,0.329,0.632,0.232,0.189,0.116,0.179,0.147,0.4,0.7,0.3,0.833,0.167,0.722,0.278
0021100009,1610612761,Raptors,TOR,Toronto,240:00,0.734,0.266,0.635,0.173,0.26,0.0,0.106,0.067,0.462,0.818,0.182,0.889,0.111,0.833,0.167
0021100009,1610612739,Cavaliers,CLE,Cleveland,240:00,0.765,0.235,0.604,0.146,0.188,0.115,0.208,0.135,0.458,0.586,0.414,0.667,0.333,0.6,0.4
0021100016,1610612757,Trail Blazers,POR,Portland,240:00,0.804,0.196,0.579,0.224,0.252,0.14,0.168,0.262,0.355,0.516,0.484,0.889,0.111,0.6,0.4
0021100016,1610612755,76ers,PHI,Philadelphia,240:00,0.771,0.229,0.621,0.252,0.233,0.117,0.146,0.146,0.369,0.563,0.438,0.375,0.625,0.525,0.475
0021100010,1610612754,Pacers,IND,Indiana,240:00,0.828,0.172,0.549,0.154,0.231,0.143,0.22,0.165,0.396,0.56,0.44,0.857,0.143,0.625,0.375
0021100010,1610612765,Pistons,DET,Detroit,240:00,0.747,0.253,0.506,0.152,0.266,0.114,0.228,0.127,0.354,0.55,0.45,0.857,0.143,0.63,0.37
0021100012,1610612743,Nuggets,DEN,Denver,240:00,0.658,0.342,0.504,0.157,0.261,0.174,0.235,0.226,0.348,0.276,0.724,1.0,0.0,0.462,0.538
0021100012,1610612742,Mavericks,DAL,Dallas,240:00,0.645,0.355,0.516,0.151,0.258,0.129,0.226,0.151,0.366,0.542,0.458,0.75,0.25,0.594,0.406
0021100015,1610612758,Kings,SAC,Sacramento,240:00,0.76,0.24,0.52,0.22,0.27,0.19,0.21,0.06,0.3,0.308,0.692,0.889,0.111,0.457,0.543
0021100015,1610612747,Lakers,LAL,Los Angeles,240:00,0.818,0.182,0.791,0.308,0.033,0.132,0.176,0.165,0.484,0.556,0.444,1.0,0.0,0.568,0.432
0021100011,1610612760,Thunder,OKC,Oklahoma City,240:00,0.795,0.205,0.577,0.231,0.144,0.192,0.279,0.144,0.346,0.467,0.533,0.8,0.2,0.514,0.486
0021100011,1610612750,Timberwolves,MIN,Minnesota,240:00,0.747,0.253,0.72,0.12,0.09,0.15,0.19,0.15,0.6,0.583,0.417,0.333,0.667,0.564,0.436
0021100006,1610612764,Wizards,WAS,Washington,240:00,0.905,0.095,0.714,0.262,0.036,0.143,0.25,0.226,0.452,0.4,0.6,1.0,0.0,0.419,0.581
0021100006,1610612751,Nets,NJN,New Jersey,240:00,0.698,0.302,0.622,0.311,0.2,0.022,0.178,0.133,0.311,0.5,0.5,0.5,0.5,0.5,0.5
0021100007,1610612749,Bucks,MIL,Milwaukee,240:00,0.726,0.274,0.547,0.168,0.253,0.095,0.2,0.2,0.379,0.615,0.385,0.625,0.375,0.618,0.382
0021100007,1610612766,Bobcats,CHA,Charlotte,240:00,0.779,0.221,0.708,0.375,0.125,0.167,0.167,0.177,0.333,0.706,0.294,0.75,0.25,0.711,0.289
0021100022,1610612762,Jazz,UTA,Utah,240:00,0.856,0.144,0.789,0.282,0.042,0.225,0.169,0.239,0.507,0.714,0.286,0.0,1.0,0.69,0.31
0021100022,1610612747,Lakers,LAL,Los Angeles,240:00,0.775,0.225,0.5,0.167,0.188,0.167,0.313,0.115,0.333,0.542,0.458,0.667,0.333,0.567,0.433
0021100018,1610612751,Nets,NJN,New Jersey,240:00,0.662,0.338,0.486,0.171,0.214,0.114,0.3,0.157,0.314,0.353,0.647,0.6,0.4,0.409,0.591
0021100018,1610612737,Hawks,ATL,Atlanta,240:00,0.733,0.267,0.491,0.151,0.34,0.151,0.17,0.283,0.34,0.538,0.462,0.75,0.25,0.605,0.395
