GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0021200003,1610612747,Lakers,LAL,Los Angeles,240:00,0.831,0.169,0.769,0.154,0.099,0.077,0.132,0.187,0.615,0.6,0.4,1.0,0.0,0.632,0.368
0021200003,1610612742,Mavericks,DAL,Dallas,240:00,0.824,0.176,0.707,0.242,0.152,0.131,0.141,0.172,0.465,0.514,0.486,0.8,0.2,0.55,0.45
0021200001,1610612764,Wizards,WAS,Washington,240:00,0.644,0.356,0.571,0.19,0.286,0.155,0.143,0.155,0.381,0.75,0.25,1.0,0.0,0.813,0.188
0021200001,1610612739,Cavaliers,CLE,Cleveland,240:00,0.747,0.253,0.617,0.17,0.223,0.064,0.16,0.213,0.447,0.517,0.483,1.0,0.0,0.611,0.389
0021200002,1610612748,Heat,MIA,Miami,240:00,0.797,0.203,0.583,0.2,0.2,0.1,0.217,0.158,0.383,0.514,0.486,0.875,0.125,0.581,0.419
0021200002,1610612738,Celtics,BOS,Boston,240:00,0.827,0.173,0.617,0.224,0.168,0.252,0.215,0.056,0.393,0.576,0.424,0.833,0.167,0.615,0.385
0021200005,1610612755,76ers,PHI,Philadelphia,240:00,0.706,0.294,0.548,0.238,0.25,0.25,0.202,0.286,0.31,0.565,0.435,0.714,0.286,0.6,0.4
0021200005,1610612743,Nuggets,DEN,Denver,240:00,0.795,0.205,0.773,0.133,0.16,0.24,0.067,0.213,0.64,0.517,0.483,1.0,0.0,0.576,0.424
0021200007,1610612758,Kings,SAC,Sacramento,240:00,0.798,0.202,0.644,0.138,0.207,0.161,0.149,0.149,0.506,0.321,0.679,0.833,0.167,0.412,0.588
0021200007,1610612741,Bulls,CHI,Chicago,240:00,0.886,0.114,0.667,0.215,0.065,0.151,0.269,0.269,0.452,0.613,0.387,1.0,0.0,0.636,0.364
0021200010,1610612756,Suns,PHX,Phoenix,240:00,0.738,0.263,0.659,0.188,0.141,0.129,0.2,0.129,0.471,0.464,0.536,0.75,0.25,0.5,0.5
0021200010,1610612744,Warriors,GSW,Golden State,240:00,0.802,0.198,0.644,0.161,0.172,0.126,0.184,0.218,0.483,0.5,0.5,1.0,0.0,0.576,0.424
0021200011,1610612763,Grizzlies,MEM,Memphis,240:00,0.837,0.163,0.674,0.196,0.065,0.12,0.261,0.283,0.478,0.71,0.29,1.0,0.0,0.727,0.273
0021200011,1610612746,Clippers,LAC,Los Angeles,240:00,0.797,0.203,0.653,0.139,0.149,0.287,0.198,0.287,0.515,0.606,0.394,1.0,0.0,0.658,0.342
0021200006,1610612745,Rockets,HOU,Houston,240:00,0.658,0.342,0.552,0.076,0.286,0.124,0.162,0.162,0.476,0.655,0.345,0.9,0.1,0.718,0.282
0021200006,1610612765,Pistons,DET,Detroit,240:00,0.797,0.203,0.604,0.167,0.188,0.125,0.208,0.177,0.438,0.552,0.448,0.833,0.167,0.6,0.4
0021200009,1610612762,Jazz,UTA,Utah,240:00,0.843,0.157,0.566,0.177,0.159,0.239,0.274,0.204,0.389,0.563,0.438,1.0,0.0,0.632,0.368
0021200009,1610612742,Mavericks,DAL,Dallas,240:00,0.741,0.259,0.447,0.128,0.351,0.128,0.202,0.234,0.319,0.524,0.476,0.818,0.182,0.625,0.375
0021200012,1610612757,Trail Blazers,POR,Portland,240:00,0.759,0.241,0.569,0.19,0.233,0.164,0.198,0.241,0.379,0.333,0.667,0.889,0.111,0.452,0.548
0021200012,1610612747,Lakers,LAL,Los Angeles,240:00,0.75,0.25,0.528,0.113,0.226,0.057,0.245,0.17,0.415,0.536,0.464,0.75,0.25,0.583,0.417
0021200008,1610612759,Spurs,SAS,San Antonio,240:00,0.75,0.25,0.646,0.121,0.182,0.141,0.172,0.131,0.525,0.5,0.5,1.0,0.0,0.579,0.421
0021200008,1610612740,Hornets,NOH,New Orleans,240:00,0.788,0.213,0.653,0.168,0.126,0.2,0.221,0.158,0.484,0.71,0.29,1.0,0.0,0.743,0.257
0021200004,1610612761,Raptors,TOR,Toronto,240:00,0.813,0.187,0.614,0.227,0.205,0.08,0.182,0.193,0.386,0.519,0.481,0.667,0.333,0.545,0.455
0021200004,1610612754,Pacers,IND,Indiana,240:00,0.859,0.141,0.711,0.222,0.167,0.089,0.122,0.044,0.489,0.563,0.438,0.8,0.2,0.595,0.405
0021200014,1610612759,Spurs,SAS,San Antonio,240:00,0.759,0.241,0.698,0.186,0.174,0.209,0.128,0.209,0.512,0.733,0.267,1.0,0.0,0.771,0.229
0021200014,1610612760,Thunder,OKC,Oklahoma City,240:00,0.779,0.221,0.524,0.238,0.25,0.071,0.226,0.155,0.286,0.545,0.455,0.857,0.143,0.621,0.379
0021200026,1610612763,Grizzlies,MEM,Memphis,240:00,0.831,0.169,0.558,0.154,0.173,0.135,0.269,0.202,0.404,0.621,0.379,0.667,0.333,0.629,0.371
0021200026,1610612744,Warriors,GSW,Golden State,240:00,0.75,0.25,0.553,0.234,0.319,0.085,0.128,0.106,0.319,0.538,0.462,0.7,0.3,0.583,0.417
